ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
4178,1.0,0.5592903192904244,0.4407096807095756,0.0,0.42061033190127756,0.5793896680987226,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.41372972839284256,0.5862702716071575,0.3998510702095126,0.6001489297904875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4179,1.0,0.5592903192904244,0.4407096807095756,0.0,0.42061033190127756,0.5793896680987226,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.4729049182715651,0.5270950817284349,0.3998510702095126,0.6001489297904875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4180,1.0,0.5592903192904244,0.4407096807095756,0.0,0.42061033190127756,0.5793896680987226,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.4729049182715651,0.5270950817284349,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4181,1.0,0.5592903192904244,0.4407096807095756,0.0,0.42061033190127756,0.5793896680987226,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.4729049182715651,0.5270950817284349,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4182,1.0,0.6044530227376382,0.3955469772623617,0.0,0.42061033190127756,0.5793896680987226,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.4729049182715651,0.5270950817284349,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4183,1.0,0.6044530227376382,0.3955469772623617,0.0,0.3769051396351706,0.6230948603648294,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.4729049182715651,0.5270950817284349,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4184,1.0,0.6044530227376382,0.3955469772623617,0.0,0.3769051396351706,0.6230948603648294,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.4729049182715651,0.5270950817284349,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4185,1.0,0.6044530227376382,0.3955469772623617,0.0,0.3769051396351706,0.6230948603648294,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.4729049182715651,0.5270950817284349,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4186,1.0,0.6044530227376382,0.3955469772623617,0.0,0.3769051396351706,0.6230948603648294,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.42523120955405863,0.5747687904459413,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
4187,1.0,0.6044530227376382,0.3955469772623617,0.0,0.3769051396351706,0.6230948603648294,0.7181310115750288,0.2818689884249711,1.7065370309388767E-17,1.0,1.7065370309388767E-17,0.42523120955405863,0.5747687904459413,0.4608082010231125,0.5391917989768875,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.0,1.7065370309388767E-17,1.7065370309388767E-17,0.5,0.5,0.5,
